Term,Ses,Subject,Catalog,Sec,Class Nbr,Career,Course Name,Topic Name,School,Dept,Instr ID,Class Start Date,Class End Date,Mtg Start,Mtg End,M,T,W,Th,Fri,S,Su,Bldng/Room,Enrl Cap,Wait Cap,Class Stat,Min,Max,Component
2228,S,MATH, 100L,01,1120,UGRD,Lab Lrning & Stdng Math Und I,,COS,MATH,542,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,SC 127,30,7,Active,1.00,1.00,LAB
2228,S,MATH, 100L,02,1121,UGRD,Lab Lrning & Stdng Math Und I,,COS,MATH,395,8/29/22,12/17/22,4:00:00 PM,5:15:00 PM,M,,W,,,,,SC 129,30,7,Active,1.00,1.00,LAB
2228,S,MATH, 100L,03,1122,UGRD,Lab Lrning & Stdng Math Und I,,COS,MATH,273,8/29/22,12/17/22,7:00:00 PM,8:15:00 PM,M,,W,,,,,SC 111,30,7,Active,1.00,1.00,LAB
2228,S,MATH, 100L,04,1123,UGRD,Lab Lrning & Stdng Math Und I,,COS,MATH,931,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,SC 127,30,7,Active,1.00,1.00,LAB
2228,S,MATH, 100L,05,1124,UGRD,Lab Lrning & Stdng Math Und I,,COS,MATH,447,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,,T,,Th,,,,BK 204,22,7,Active,1.00,1.00,LAB
2228,S,CHEM, 310,L01,1125,UGRD,Analytical Chem I & Lab,,COS,CHEM,,8/29/22,12/17/22,,,,,,,,,,,12,0,Cancelled,4.00,4.00,LAB
2228,S,CHEM, 310,L02,1126,UGRD,Analytical Chem I & Lab,,COS,CHEM,529,8/29/22,12/17/22,1:00:00 PM,4:50:00 PM,,,,Th,,,,KC 382,14,0,Active,4.00,4.00,LAB
2228,S,CHEM, 340,01,1127,UGRD,Physical Chem Quantum Lec/Lab,,COS,CHEM,742,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SH 105,16,0,Active,4.00,4.00,LEC
2228,S,CHEM, 340,L01,1128,UGRD,Physical Chem Quantum Lec/Lab,,COS,CHEM,599,8/29/22,12/17/22,1:00:00 PM,4:50:00 PM,,T,,,,,,KC 382,16,0,Active,4.00,4.00,LAB
2228,S,CHEM, 432,01,1129,UGRD,Advanced Organic Chemistry,,COS,CHEM,96,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,SC 019,30,100,Active,3.00,3.00,LEC
2228,S,PHIL, 101,01,1131,UGRD,Introduction to Philosophy,,COS,PHIL,214,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,BK 107,22,100,Active,3.00,3.00,LEC
2228,S,PHIL, 101,02,1133,UGRD,Introduction to Philosophy,,COS,PHIL,214,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,BK 209,27,100,Active,3.00,3.00,LEC
2228,S,PHIL, 101,03,1134,UGRD,Introduction to Philosophy,,COS,PHIL,224,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,BK 201,23,100,Active,3.00,3.00,LEC
2228,S,PHIL, 101,04,1136,UGRD,Introduction to Philosophy,,COS,PHIL,,8/29/22,12/17/22,,,,,,,,,,,27,100,Cancelled,3.00,3.00,LEC
2228,S,PHIL, 102,01,1137,UGRD,Philosophy Through Sci Fi,,COS,PHIL,305,8/29/22,12/17/22,7:00:00 PM,9:50:00 PM,,T,,,,,,LL B13,22,100,Active,3.00,3.00,LEC
2228,S,PHIL, 102,02,1138,UGRD,Philosophy Through Sci Fi,,COS,PHIL,305,8/29/22,12/17/22,7:00:00 PM,9:50:00 PM,,,,Th,,,,LL B13,27,100,Active,3.00,3.00,LEC
